name,album,artist,id,popularity,mood
1999,1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,68,Happy
23,23,Blonde Redhead,4HIwL9ii9CcXpTOTzMq0MP,43,Sad
9 Crimes,9,Damien Rice,5GZEeowhvSieFDiR8fQ2im,60,Sad
99 Luftballons,99 Luftballons,Nena,6HA97v4wEGQ5TUClRM0XLc,2,Happy
A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,Underoath,47IWLfIKOKhFnz1FUEUIkE,60,Energetic
A Burden to Bear,A Burden to Bear,Emmanuelle Rimbaud,67DOFCrkcQaLp5yhzF8Y8N,27,Calm
A La Plage,A La Plage,Ron Adelaar,79NmiFAgcXUIVDGfCWDdWF,29,Calm
A Little Less Conversation - JXL Radio Edit Remix,Elvis 75 - Good Rockin' Tonight,Elvis Presley,4l2hnfUx0esSbITQa7iJt0,1,Happy
A Place for My Head,Hybrid Theory (Bonus Edition),Linkin Park,5rAxhWcgFng3s570sGO2F8,68,Energetic
ATTACK,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,6QxTWEvzcJljVZaeTzuHF1,0,Energetic
Adagio For Strings,Adagio For Strings,Lucas & Steve,1RvDsjCBDTES3lPiEGNNMY,55,Energetic
Adjustments,Adjustments,Josie Mehlin,6w0vhPaZBYjhrDobs3QE14,52,Calm
Adrift,Adrift,Cooper Sams,3TNNGjgOQ7O8vwAlvlD9Fg,53,Calm
Afraid of Heights,Afraid of Heights,Billy Talent,0P44AUPRzaIAHNWquN0fGR,38,Energetic
Africa,Toto IV,TOTO,2374M0fQpWi3dLnB54qaLX,84,Happy
After The Rain,After The Rain,Comet Blue,2XBc2jWnvPqNO2LebVtLaY,24,Calm
Afterlife,Avenged Sevenfold,Avenged Sevenfold,4QdwsME04RG25KPHcPYoox,13,Energetic
Algo Rhythm,Temporär Musik 1-13,One Sentence. Supervisor,0PqJ7LSknltqqMNqPDClNA,0,Sad
Alison,Souvlaki,Slowdive,55CenVQ4alvDJ1PS8aYB0m,0,Sad
Alive,Alive,Paris Blohm,2rPJcL8gQauA2nBdRyNZZL,51,Energetic
All I Want,The Kodaline EP,Kodaline,1XczdQt6RKNkEQfPqUsi3q,29,Sad
All Mirrors,All Mirrors,Angel Olsen,4ZQdynvfiayhdoq5lcuCQ1,1,Sad
All These Things I Hate (Revolve Around Me),The Poison,Bullet For My Valentine,6hZkQjIQBY7HAj4nzLUvdx,39,Energetic
All in the Suit That You Wear,Thank You,Stone Temple Pilots,17Nk1aji6gd26vabky7fMi,39,Energetic
All of Me,Love In The Future (Expanded Edition),John Legend,3U4isOIWM3VvDubwSI3y7a,85,Sad
All or Nothing (feat. Axel Ehnström) - Deluxe Mix,Less is More (Deluxe),Lost Frequencies,15bAMg00o4VdWmQrlkbfG3,22,Happy
Always,Back Into Your System,Saliva,7kpa6MWRrPaF3b6C0DgioK,63,Energetic
Ambre,Wintermusik,Nils Frahm,0suQ6B8Bsp0tFuCXx652Az,0,Calm
Anaviosi,Anaviosi,Alexi Musnitsky,4OWZLr2sLv7ueKPHV7JRNP,38,Calm
Anchor,Anchor,Novo Amor,6x6XKEUcCJGUACD4Xh7KuP,0,Sad
Andromeda,Andromeda,Weyes Blood,0L6lVIgGqVHnmR3BIy8GHa,36,Sad
Angel's Song,Angel's Song,Arlo Parks,5hXTMmVXz1Ablgu34BkTz1,58,Sad
Angry Chair,The Essential Alice In Chains,Alice In Chains,6H0wgcQCOuLYqDuNhMW8KL,22,Energetic
Anthem,Anthem,EDX,1SSAvErVyid5OXzmtGZKkg,44,Happy
Anthem of Our Dying Day,Page Avenue (US Non-PA Version),Story Of The Year,4sPJgy0CksvmXp9jC0W4gv,56,Energetic
Are You Gonna Be My Girl,Get Born,Jet,305WCRhhS10XUcH6AEwZk6,75,Happy
As I Sleep (feat. Charlee),As I Sleep (feat. Charlee),Tobtok,72qlZsoVPpyFxVjL6GUuYI,55,Energetic
Ashes to Ashes,Ashes to Ashes,Warpaint,2lJa0SY7vZpvJ7QDFanOuZ,51,Sad
Atlavík,Varða,Hugar,6WdO6Ds95sLALCqCOfbDQh,53,Calm
Auburn Sky,Auburn Sky,Toledo Rains,42BtxDRqFTbE6Jb6rd9QOZ,48,Calm
Awaken,Awaken,William Duhamel,00ZtJgQax06A96l8sMcmlB,55,Calm
Away From Me,Life On Display,Puddle Of Mudd,4wzaTdhmBgpch7IXu3CskA,0,Energetic
Back Where I Belong (feat. Avicii),Back Where I Belong (feat. Avicii),Otto Knows,78W8wiUIlQ2SnWY9TVowKZ,56,Energetic
Back+,Back+,Ton Snijders,6MrVWgw16iHBGRntjRkGQq,26,Calm
Bad Feeling,Bad Feeling,Muzz,1qUaWLUot3Iik95S09cdSZ,39,Sad
Bad Kingdom,Gold,May,7vCuaxRIKElwgjSAo5REkw,57,Sad
Bad Timing,Bad Timing,Arlo Day,2KSCegx6TosQQEgmhJKNQa,30,Sad
Ballad of the Dying Man,Ballad of the Dying Man,Father John Misty,65w8nArxPq2EzOAhteymf0,0,Sad
Balloon,Balloon,YuMe,6a9DN96EWRc56Lwl5YD7KL,34,Calm
